label;query;ndcg
NOSTEEMER;1;0.314079166125888
NOSTEEMER;2;0.0
NOSTEEMER;3;0.21380547312348402
NOSTEEMER;4;0.0
NOSTEEMER;5;0.24054447533812587
NOSTEEMER;6;0.1889395965225388
NOSTEEMER;7;0.028110174710324457
NOSTEEMER;8;0.1433996999547768
NOSTEEMER;9;0.09915448066394662
NOSTEEMER;10;0.19031326377064928
NOSTEEMER;11;0.6084379694992524
NOSTEEMER;12;0.12227573159520973
NOSTEEMER;13;0.021165036325292604
NOSTEEMER;14;0.23534112650022257
NOSTEEMER;15;0.4106369291448829
NOSTEEMER;16;0.47955217473295697
NOSTEEMER;17;0.16932767309263377
NOSTEEMER;18;0.1454959723688421
NOSTEEMER;19;0.20984757961209985
NOSTEEMER;20;0.8135538777949609
NOSTEEMER;21;0.054167998773841104
NOSTEEMER;22;0.36779235156568246
NOSTEEMER;23;0.1414141727007335
NOSTEEMER;24;0.15460216710841534
NOSTEEMER;25;0.31801903300874584
NOSTEEMER;26;0.5498985650584811
NOSTEEMER;27;0.22834658407811056
NOSTEEMER;28;0.53200230066414
NOSTEEMER;29;0.07362322034364345
NOSTEEMER;30;0.06646387179603973
NOSTEEMER;31;0.5579908291211707
NOSTEEMER;32;0.14932811141829821
NOSTEEMER;33;0.39235102577930175
NOSTEEMER;34;0.6531474610064953
NOSTEEMER;35;0.16160197150781952
NOSTEEMER;36;0.0
NOSTEEMER;37;0.8153607091234779
NOSTEEMER;38;0.19031326377064928
NOSTEEMER;39;0.48884299417268523
NOSTEEMER;40;0.3653225331813351
NOSTEEMER;41;0.4582930665332749
NOSTEEMER;42;0.47107515254912324
NOSTEEMER;43;0.09430239403956273
NOSTEEMER;44;0.14273494782798696
NOSTEEMER;45;0.10349240370103677
NOSTEEMER;46;0.12361525978865123
NOSTEEMER;47;0.03856992839421854
NOSTEEMER;48;0.0
NOSTEEMER;49;0.7438050424638488
NOSTEEMER;50;0.19447087762186624
NOSTEEMER;51;0.23217867058679262
NOSTEEMER;52;0.0
NOSTEEMER;53;0.25063272069143
NOSTEEMER;54;0.2621419282586266
NOSTEEMER;55;0.0
NOSTEEMER;56;0.07226013705237244
NOSTEEMER;57;0.26682589777634963
NOSTEEMER;58;0.18418628900065684
NOSTEEMER;59;0.0
NOSTEEMER;60;0.28071428342086185
NOSTEEMER;61;0.2378915797133116
NOSTEEMER;62;0.2967586514173434
NOSTEEMER;63;0.10048927332296617
NOSTEEMER;64;0.06277766455849094
NOSTEEMER;65;0.2235117692943865
NOSTEEMER;66;0.04343596174809246
NOSTEEMER;67;0.3084964964854768
NOSTEEMER;68;0.2536533353264904
NOSTEEMER;69;0.2480460648585056
NOSTEEMER;70;0.06983946883841112
NOSTEEMER;71;0.5071223639657989
NOSTEEMER;72;0.19224274534474728
NOSTEEMER;73;0.38730217377441817
NOSTEEMER;74;0.0
NOSTEEMER;75;0.17346661602094404
NOSTEEMER;76;0.24867842622668335
NOSTEEMER;77;0.5684917805105841
NOSTEEMER;78;0.18518741273409065
NOSTEEMER;79;0.26965707896150254
NOSTEEMER;80;0.15219200119589427
NOSTEEMER;81;0.30750602616538775
NOSTEEMER;82;0.14056516596130977
NOSTEEMER;83;0.2097574211928517
NOSTEEMER;84;0.6517144770167016
NOSTEEMER;85;0.021926012377744906
NOSTEEMER;86;0.3206520894972485
NOSTEEMER;87;0.11105694007179115
NOSTEEMER;88;0.0
NOSTEEMER;89;0.06070951320931393
NOSTEEMER;90;0.19031326377064928
NOSTEEMER;91;0.2549818407783072
NOSTEEMER;92;0.24761995681614102
NOSTEEMER;94;0.26984860537910854
NOSTEEMER;95;0.0
NOSTEEMER;96;0.10888717648521037
NOSTEEMER;97;0.07436586049795997
NOSTEEMER;98;0.11247796018567056
NOSTEEMER;99;0.0
NOSTEEMER;100;0.2206649127637614
